review_date,review_title,review_comment,review_rating
25 May 2016,All My Girlfriends Loved This Great Movie.,Angry Birds is a great movie for both children and adults The comedy is simply mesmerizing and the adventure is extremely entertaining On an island paradise populated almost entirely by happy flightless birds Red Jason Sudeikis a bird with a temper problem speedy Chuck Josh Gad and the volatile Bomb Danny McBride have always been outsiders But when the island is visited by mysterious green piggies who steal their eggs and carry them off to Piggy Island it s up to these unlikely outcasts to save the day and show the pigs including spokesman Leonard Bill Hader just how angry they can be Truly all my girlfriends in the cinema were laughing and having good times including me during this Excellent movie,10
14 May 2016,"Funny, colorful and brisk movie.",The Angry Birds Movie is funny colorful and brisk movie Somebody has said that movie is three years late but I don t think so It brings nostalgic feeling back from games and make them desirable again Story line is simple but it meanders nicely Movie is full with funny wordplay even so much that it is sometimes almost hard to follow all of them and this is promising for the movie You want to see it again to find all those puns Movies scenery is beautiful and colorful and all the action will satisfy younger audience Funny wordplay confidently satisfy more adult audience Familiar pop songs brings some nice nostalgic feeling for movie The story could be bit little more profound but to me movie is basic entertainment and nicely airy There are many references to other movie and that satisfy movie goers like me Animation is beautiful and colorful 3D brings nice depth to scenery and works nicely enough to counsel to see it in 3D In Finland we have also dubbed version of the movie but that didn t persuade me to test Maybe when BluRay version comes out I can try how they have dubbed those wordplay The story is underlay quite long but when they finally get s to action it feels familiarity with Angry Birds games Rarely comes out a good movie out of game but The Angry Birds Movie turns nicely to a movie It is shameless entertaining but it almost make me start to play all those old games again Good family entertainment,9
25 May 2016,"You'll be surprised, I was. Better than expected.",I honestly watched this with probably some of the lowest expectations Wow was I ever surprised How could a movie about Angry Birds a simple smart phone app game be any good Heck Hollywood can barely make a decent video game movie even one with an already great story But Angry Birds A game with a few cut scenes and a simple story Pigs steal eggs Birds try to get them back Well my hat is off to the writers and the actors Enough gushing Angry Birds does what a lot of great animated movies do Write a funny story that kids can follow along But also include enough inside jokes for the adults to get so that they can laugh too I m 46 and a father of a teen We both laughed a lot during it but I honestly think me and my 8yr old nephew enjoyed more than my 15yr old daughter The voice acting is perfect Jason and Josh do great job But honestly I think Josh steals the movie Josh Chuck has some of the greatest scenes and lines And he pulls them off even better than he did as Olaf in Frozen NOT A SPOILER shown in trailer For the fans of the game about half way through movie you finally get your nod When the birds attack the pigs we finally get a taste of the game But it doesn t take away from the movie as one might expect They did a great job of sling shooting the birds at the pig s buildings without taking away from the story I give it a 8 out of 10 great movie for the whole family I didn t give it a 9 or 10 because though it is probably the best movie it could of been It is a movie that probably could of been even better if it had nothing to do about a game So that they didn t have to include certain things But it is still a must see if you have kids or have ever played the game,8
22 May 2016,These angry birds will make you happy.,I can not believe how happy I became after watching this excellent movie Honestly speaking watching movies for children is a thing I rarely do But after watching the amazing trailer I made up my mind I must see it Angry Birds is a very funny movie We all need to laugh in these hard days because laughter makes our immunity high whereas sadness make our immunity weak The story of angry birds is about flightless birds who are happily living except for one who is called Red Poor bird he can t get over the daily problems that he has been facing in life His angry temper made him attend management class where he meets birds who have been suffering of disenchantment in life just like him Chuck and Bomb Red becomes outraged when his other fellow birds welcome green pigs to their island paradise As the swine begins to irritate him angry bird Red teams with his other angry birds Chuck and Bomb to investigate the real reason behind the sudden occupation of the pigs You will enjoy an excellent movie with superior comedy entertaining adventure and amazing 3 D from the beginning of this movie till the end This film is currently Number 1 in most countries and in the USA it went straight in at number 1 A proof this movie is successful and great,10
9 September 2021,"Hilarious, entertaining and moving.",Angry birds was a wonderful experience and I thoroughly recommend it to everyone of all ages The animation is great the music is wonderful the voice acting is stellar and you ll get a lot of laughs out of it I hope The plot is simple and the characters are likeable and there s a nice amount of emotion to this film as well Not much to dislike unless your not into silliness and light hearted fun,9
5 July 2016,"""A-well-a, everybody's heard about the bird Bird, bird, bird, b-bird's the word.""",Having never played the app game it was going to be interesting to see whether The Angry Birds Movie was going to make something interesting out of it and how it was going to be succeed The Angry Birds Movie is not perfect but this reviewer was really surprised at how much she enjoyed it There are better animated films out there and there were better released this year i e Zootropolis aka Zootopia in some places but also far worse on both counts From the two animated films seen recently at the cinema The Angry Birds Movie is the superior film of the two The other was Ratchet Clank which is not as bad as critics made out personal opinion of course and could have been much worse considering video game adaptations dubious track record but also had too many flaws to be considered a good film Getting the flaws out of the way the story in The Angry Birds Movie is somewhat flimsy and has a tendency to be thin on the ground with a couple of unnecessary parts and parts that don t really go anywhere It does occasionally feel rushed too and while the film entertains hugely a vast majority of the time there are a couple of gags that misfire This is especially true with the quite tasteless awkwardly placed and too overlong urination gag that was also really quite out of place However the animation in The Angry Birds Movie is great The colours are sumptuous and brightly vibrant the characters are well modelled and never look stiff or ugly and there are some very colourful and meticulously detailed backgrounds There are also some very imaginative visuals in the action sequences The music never makes the mistake of being stylistically jarring or over bearing and has a lot of infectious personality and energetic verve While not hilarious as such and unashamedly but endearingly silly the script has some very funny moments is tonally balanced with very little that s inappropriate or distasteful is solidly balanced without being disjointed or muddled and there are some clever and witty lines The action sequences are beautifully animated and thrilling the message is a great one gives the film a surprisingly emotional core without being over sentimental or preachy and the climax is quite the knockout and the highlight of the film The Angry Birds Movie s colourful characters carry the film beautifully with a protagonist that is easy to relate to and Mighty Eagle despite being a marmite character is great fun The villains do pose a reasonable threat though are not particularly interesting The voice acting including actors who you wouldn t expect to work as well as they did in voice acting is excellent with the best contribution coming from Peter Dinklage All in all surprisingly very entertaining and much better than it had a right to see considering what it was based on 7 10 Bethany Cox,8
29 May 2016,Funny and relatable,I ve never played or cared about Angry Birds before but I still decided to try this movie And I m quite glad I did for it is a lot better than I expected It is silly and hilarious but it still has a decent plot moral and some emotion The animation is very lively and colorful The main character is a grumpy bird called Red whom I m sure many people would find relatable Life just doesn t treat him well and so he acts rather angry leading others to believe he s a terrible bird when all he wants is some peace The other characters besides Red are likable too and all have their own unique personalities Most of the gags in the movie didn t make me laugh out loud but that s okay because there was still plenty of comedy to enjoy and most of it made me laugh on the inside There were many adult jokes but most of them weren t blatant enough to be much of a worry if there s a young kid watching The gross out humor was distasteful of course but there wasn t as much of it as I thought there d be I expected more fart jokes but thankfully there weren t The puke joke was unappealing but luckily it was only a few seconds the pee joke is what really bothered me because it was really awkward and lasted way too long There are some heart warming moments and character revelations throughout the movie particularly near the end but I shan t be specific to avoid spoilers The movie mostly focuses on making viewers laugh but there are still other reasons to watch it such as a nice moral about having faith in yourself and trusting yourself to do the right thing Anyone who knows Angry Birds could have predicted the plot and the moral s been done before but it s still an enjoyable watch,7
11 June 2016,A good treat for everyone,The Angry Birds Movie a fast fizzy and frenetically entertaining extension of the manic gaming franchise that at its zenith had children of all ages glued to their smartphone screens Rich in color energy and perfectly dreadful puns this film adaptation of the Finnish gaming phenomenon surpasses all cynical expectations The voice of Jason Sudeikis for Mr Red was fantastic and the movie made justice to the Angry Birds games we enjoy playing The Angry Birds Movie is way better than most viewers would expect I enjoyed the movie very much and hope the viewers would be getting same satisfaction when they play the game I go with 7 10 for this amazingly crafted movie,7
6 October 2016,Nice. Picturesque and eclectic. Merry. A very pleasant movie!,Having never played the app game it was going to be interesting to see whether The Angry Birds Movie was going to make something interesting out of it and how it was going to be succeed The Angry Birds Movie is not perfect but this reviewer was really surprised at how much she enjoyed it There are better animated films out there and there were better released this year i e Zootropolis aka Zootopia in some places but also far worse on both counts From the two animated films seen recently at the cinema The Angry Birds Movie is the superior film of the two The other was Ratchet Clank which is not as bad as critics made out personal opinion of course and could have been much worse considering video game adaptations dubious track record but also had too many flaws to be considered a good film Getting the flaws out of the way the story in The Angry Birds Movie is somewhat flimsy and has a tendency to be thin on the ground with a couple of unnecessary parts and parts that don t really go anywhere It does occasionally feel rushed too and while the film entertains hugely a vast majority of the time there are a couple of gags that misfire This is especially true with the quite tasteless awkwardly placed and too overlong urination gag that was also really quite out of place However the animation in The Angry Birds Movie is great The colours are sumptuous and brightly vibrant the characters are well modelled and never look stiff or ugly and there are some very colourful and meticulously detailed backgrounds There are also some very imaginative visuals in the action sequences The music never makes the mistake of being stylistically jarring or over bearing and has a lot of infectious personality and energetic verve While not hilarious as such and unashamedly but endearingly silly the script has some very funny moments is tonally balanced with very little that s inappropriate or distasteful is solidly balanced without being disjointed or muddled and there are some clever and witty lines The action sequences are beautifully animated and thrilling the message is a great one gives the film a surprisingly emotional core without being over sentimental or preachy and the climax is quite the knockout and the highlight of the film The Angry Birds Movie s colourful characters carry the film beautifully with a protagonist that is easy to relate to and Mighty Eagle despite being a marmite character is great fun The villains do pose a reasonable threat though are not particularly interesting The voice acting including actors who you wouldn t expect to work as well as they did in voice acting is excellent with the best contribution coming from Peter Dinklage All in all surprisingly very entertaining and much better than it had a right to see considering what it was based on 7 10 Bethany Cox,8
3 June 2016,Angry Birds deliver,The Angry Birds Movie deliver one of the best animated comedies ever created for families You and your family will love all of the laughs in this once in a life time experience that you will never forget trust me It has a lot of heart that will make you feel good inside and never want to leave it Parents this movie has no profanity but there are spots where you know where there should be profanity like what the cluck The movie will make your kids super happy and the 3D glasses are sick in a good way This is one of the best 3D movies I have ever seen the animation is wonderful I hope that you enjoy this movie as much as I did because it is a hint of fresh air that you will love forever and ever it is truly magical rock on Blake Shelton Demi Lovato,10
21 May 2016,Not What I Expected,I think that because my expectations were so low going in I ended up really enjoying this movie The promotional footage and images with the bright colors and goofy character designs made me think that this movie was being targeted for really little kids but DON T BE FOOLED This is definitely aimed for the 10 and older demographic as evidenced by all the pee jokes and innuendos That being said I was delightfully surprised by the clever humor beautiful animation and insanely fun climax I must say though that this movie s greatest achievement is having one of the best voice casts I ve ever seen Jason Sudeikis is a strong center to the film and his deadpan delivery makes me upset that he is no longer attached to that Fletch reboot Bill Hader creates a Gregory Peck George C Scott like persona as the villainous Leonard Peter Dinklage almost steals the show as the a flawed icon of the birds There s also some great work being done by the likes of Maya Rudolph Kate McKinnon Keegan Michael Key and of all people Sean Penn and it s fun to hear some great TV actors like Tony Hale Danielle Brooks Ike Barinholtz and Tituss Burgess in smaller roles The highlights though are Josh Gad and Danny McBride who help create two of the most memorable sidekicks in modern film animation While watching this movie I kept comparing it to Zootopia While Zootopia had a much more original premise and all around creativity Angry Birds was stronger in terms of humor and all around enjoyment which I think comes from the simplicity of the story and characters,7
8 May 2016,Thank You Angry Birds,Dear Angry Birds Thank you for the fantastic movie Me love the movie so much I buy all you re games and toys because your birds are angry and funny The animation in the movie was superb Everything looked like the game but more real and better My favorite bird is the red bird because he s the main one but I also like Yellow and Fatso All the characters were funny and good development I laughed at all the jokes and so did my dad sometimes Please make more it was sooooooooooo good I almost had a heart attack watching my favorite characters come to life on the big screen So big and come to life Great movie From Bird,10
26 May 2016,Slightly Tepid Birds,My review of Angry Birds spoiler free 1 2 Cast Jason Sudeikis Josh Gad Danny McBride Maya Rudolph Bill Hader and Golden Globe winner Peter Dinklage Plot overview Find out why the birds are so angry When an island populated by happy flightless birds is visited by mysterious green piggies it s up to three unlikely outcasts Red Chuck and Bomb to figure out what the pigs are up to Angry Birds has been a worldwide phenomenon for many years now and usually movies based on games especially mobile games don t normally get a good reception but this this is probably the best game based movie I have ever seen When the movie was announced by Sony a lot of people gave a bad name straight away but then again so did I but when it was released the people who gave it a bad name liked it When I saw it I thought it was a really fun animation and an a really interesting take on a mobile game The reasons why I think this is a must see animation Origin Angry Birds started life as a mobile game and it s popularity just exploded in a matter of months Just to think seven years later it still remains to be extremely popular and a with a unique adaptation I think it will still be popular many years to came Action The action is a formidable choice for a movie like this but I think it was a good choice because the action is well used and well made if a little flat but I ll get to that in a second With the characters having their own unique fighting skill it certainly shows that the people who made this made a good adaptation it was very funny and fun for the whole family My initial mark for this movie was going to be 8 out of 10 but the reason for the actual mark is because it fell flat here is the reason why that is Much like the game When the movie go to the action part I thought it was fun at first but then it fell a little flat because the movie started to look like the game which isn t a bad thing but it s not a good thing either Other than that fact I thought this was a well made silly and fun animation that the whole family will love Verdict Silly fun and just a good time if a little flat near the end 7 10 recommended 2012 Best performance by an actor in a Supporting Role Series Miniseries or Motion Picture Made for Television Game of Thrones 2011,7
3 June 2016,Video Game Turned Movie,Having never played the app game it was going to be interesting to see whether The Angry Birds Movie was going to make something interesting out of it and how it was going to be succeed The Angry Birds Movie is not perfect but this reviewer was really surprised at how much she enjoyed it There are better animated films out there and there were better released this year i e Zootropolis aka Zootopia in some places but also far worse on both counts From the two animated films seen recently at the cinema The Angry Birds Movie is the superior film of the two The other was Ratchet Clank which is not as bad as critics made out personal opinion of course and could have been much worse considering video game adaptations dubious track record but also had too many flaws to be considered a good film Getting the flaws out of the way the story in The Angry Birds Movie is somewhat flimsy and has a tendency to be thin on the ground with a couple of unnecessary parts and parts that don t really go anywhere It does occasionally feel rushed too and while the film entertains hugely a vast majority of the time there are a couple of gags that misfire This is especially true with the quite tasteless awkwardly placed and too overlong urination gag that was also really quite out of place However the animation in The Angry Birds Movie is great The colours are sumptuous and brightly vibrant the characters are well modelled and never look stiff or ugly and there are some very colourful and meticulously detailed backgrounds There are also some very imaginative visuals in the action sequences The music never makes the mistake of being stylistically jarring or over bearing and has a lot of infectious personality and energetic verve While not hilarious as such and unashamedly but endearingly silly the script has some very funny moments is tonally balanced with very little that s inappropriate or distasteful is solidly balanced without being disjointed or muddled and there are some clever and witty lines The action sequences are beautifully animated and thrilling the message is a great one gives the film a surprisingly emotional core without being over sentimental or preachy and the climax is quite the knockout and the highlight of the film The Angry Birds Movie s colourful characters carry the film beautifully with a protagonist that is easy to relate to and Mighty Eagle despite being a marmite character is great fun The villains do pose a reasonable threat though are not particularly interesting The voice acting including actors who you wouldn t expect to work as well as they did in voice acting is excellent with the best contribution coming from Peter Dinklage All in all surprisingly very entertaining and much better than it had a right to see considering what it was based on 7 10 Bethany Cox,8
15 August 2016,"Rich in color, energy and perfectly dreadful puns, this film adaptation of the Finnish gaming phenomenon surpasses all cynical expectations.",Agreeability gets you so far in life but when the chips are down it helps to lose your temper sometimes That s a pretty unexpected moral takeaway for a kids movie and it s just one surprise of many in The Angry Birds Movie a fast fizzy and frenetically entertaining extension of the manic gaming franchise that at its zenith had children of all ages glued to their smartphone screens Establishing a basic psychological motivation for the fiery disposition shared by the feathered folk of Bird Island this irreverent origin story takes an appropriately loose elastic approach to its larger narrative with frequent detours to fill in daffier details of its mad mad mad mad story world,7
20 May 2016,Slingshot of a movie,Having never played the app game it was going to be interesting to see whether The Angry Birds Movie was going to make something interesting out of it and how it was going to be succeed The Angry Birds Movie is not perfect but this reviewer was really surprised at how much she enjoyed it There are better animated films out there and there were better released this year i e Zootropolis aka Zootopia in some places but also far worse on both counts From the two animated films seen recently at the cinema The Angry Birds Movie is the superior film of the two The other was Ratchet Clank which is not as bad as critics made out personal opinion of course and could have been much worse considering video game adaptations dubious track record but also had too many flaws to be considered a good film Getting the flaws out of the way the story in The Angry Birds Movie is somewhat flimsy and has a tendency to be thin on the ground with a couple of unnecessary parts and parts that don t really go anywhere It does occasionally feel rushed too and while the film entertains hugely a vast majority of the time there are a couple of gags that misfire This is especially true with the quite tasteless awkwardly placed and too overlong urination gag that was also really quite out of place However the animation in The Angry Birds Movie is great The colours are sumptuous and brightly vibrant the characters are well modelled and never look stiff or ugly and there are some very colourful and meticulously detailed backgrounds There are also some very imaginative visuals in the action sequences The music never makes the mistake of being stylistically jarring or over bearing and has a lot of infectious personality and energetic verve While not hilarious as such and unashamedly but endearingly silly the script has some very funny moments is tonally balanced with very little that s inappropriate or distasteful is solidly balanced without being disjointed or muddled and there are some clever and witty lines The action sequences are beautifully animated and thrilling the message is a great one gives the film a surprisingly emotional core without being over sentimental or preachy and the climax is quite the knockout and the highlight of the film The Angry Birds Movie s colourful characters carry the film beautifully with a protagonist that is easy to relate to and Mighty Eagle despite being a marmite character is great fun The villains do pose a reasonable threat though are not particularly interesting The voice acting including actors who you wouldn t expect to work as well as they did in voice acting is excellent with the best contribution coming from Peter Dinklage All in all surprisingly very entertaining and much better than it had a right to see considering what it was based on 7 10 Bethany Cox,8
