review_date,review_title,review_comment,review_rating
11 June 2016,Not flawless but stunning!,You have to see this movie on the big screen otherwise it s boring and non satisfying In my opinion that s just nonsense Of course the experience is better but even though I didn t get the chance to see it in theater I was still stunned when I saw it at home for the first time First of all let s get to the overall plot A team of astronauts are out in space to repair the Hubble telescope when a Russian satellite is getting hit by a rocket and now wreckage of this satellite is about to collide with them After that the only goal of everyone who survived this accident is to get back to earth alive Gravity isn t a Science Fiction movie it s more of a nerve racking thriller The main characters are played by Sandra Bullock and George Clooney who both do an excellent job but this flick isn t outstanding because of the great acting or the story it s the superior technical level this movie is on Whether you talk about sound which of course isn t always around as you are in space so the most of the time you just listen to the powerful soundtrack the impressive visuals when thousands of pieces of metal fly by you or just the camera movement by Emmanuel Lubezki who won several Oscars for a good reason In the first few minutes you get to see a very long shot which really involves you into the catastrophic events Even when you are just at home lying on your couch you feel sick in the stomach when crew members are tumbling around It s really rare that I can feel for the characters that much as in Gravity which gets supported by POV point of view shots here and there That s why I don t get why a lot of people are complaining about this movie being boring as he doesn t let you breathe a lot during the short run time of 91 minutes The only concern I got with the film is a very clich turning point within the movie but I don t want to spoil things here so I ll just leave you with that This aspect gets easily dubbed by all the other great things I mentioned In the end Gravity isn t just a movie it s more of an experience you should witness Don t get turned off by people complaining about watching the movie at home although a big TV and some good headphones or a surround system are recommendable Overall it s not perfect but definitely worth a watch,
7 October 2013,Cuarón's Dazzling Space Odyssey Turns into a Cathartic Journey of the Human Spirit,The irony of the film s title is that there isn t any gravity that is but that s not to say it lacks gravitas It does in ways both unexpected and transcendent It s been seven long years since Alfonso Cuar n s last film 2006 s emotionally propulsive thriller Children of Men which was a masterful work of suspense in the midst of one seriously dystopian vision of the apocalypse Somehow the less than prolific filmmaker manages to surpass that impressive work with this terrifying yet genuinely profound 2013 science fiction thriller that buzzes by in a fleet 91 minutes Although Ang Lee effectively used 3 D CGI effects to enhance the magical realism of Life of Pi I have never seen a film use them as purposefully and powerfully as Cuar n does here within the dramatic structure of the story Co written with his son Jon s the screenplay by contrast is life size in its intimacy and even with all the technical jargon at times poetic This combination gives the film an almost mythic reach and at the same time brings insight into the way the human spirit works against the overwhelming emptiness of space The story takes place about 372 miles above Earth and the alternately ethereal and scarifying setting is captured in brilliant detail by ace cinematographer Emmanuel Lubezki and special effects master Tim Webber Pay particularly close attention to the uninterrupted seventeen minute sequence that opens the film It s a bravura piece of cinema by anyone s standards In brief bio medical engineer Dr Ryan Stone is on her first space mission studiously installing a device to fix the Hubble Space Telescope on the U S Space Shuttle Explorer Mission commander Matt Kowalski is a veteran astronaut who devilishly spacewalks around her in a jet pack Mission Control reports that the Russians have blown up one of their own satellites which transforms into a massive attack of hurling debris that arrives in a matter of seconds and will continue to make an orbital return causing massive destruction every ninety minutes There is no time for the crew to return to the shuttle much less Earth and the damage to the craft and nearby International Space Station is extensive It s enough to say that Stone sets off on a journey not only of physical survival but spiritual awakening as her character has been in a listless state since a senseless personal tragedy occurred back home If you don t count the voiceovers at the beginning there are only two actors who make up the entire cast and they are grade A stars who bring their personal charisma to the fore George Clooney has the smaller of the two roles as Kowalski and he uses his natural insouciance to great effect as his wisecracking gives way to a character who provides the knowledgably becalming tone that Stone needs at the story s most critical points He makes one particularly risky scene work by the sheer magnitude of his character s life affirming bravado He also impressively wrote the scene Even so this is Sandra Bullock s film from start to finish and it amazes me how she wasn t even among the top casting choices for the role Angelina Jolie turned it down twice Although Stone may come across as emotionally stunted Bullock offers her natural likability as a necessary counterbalance However that observation short changes her stellar work here especially the pure physicality of her performance Intriguingly her character is not that far removed from the one she played nearly twenty years earlier in While You Were Sleeping in that both deal with personal losses with an emotional alertness that wins us over completely Only this time she does it with a graceful maturity that deepens the catharsis of the incredible odyssey she experiences this in spite of a few overtly sentimental moments thrown in for good measure Regardless this is Cuar n s towering cinematic achievement and the movie truly stands on its own,10
12 October 2013,Complete Escapism for 90 Minutes,Visually Gravity is unlike what we have seen on a cinema screen before and arguably it has one of the best uses of 3D in a movie The setting is spectacular and the premise is inventive On every other front the movie falters badly Once you get over the initial wonderment surrounding the beautiful visuals the chinks start showing up Overall the script is very weak Apparently the Russians bomb their own satellite by mistake and the debris is flying around at bullet speed smashing everything in its way Now upon hearing an emergency evacuation request Kowalski who has been wasting his precious thrusters all this while floating around spouting inane dialogs orders Ryan Bullock to disengage from whatever she is repairing Apparently Ryan has six months of training only and fails to be responsive and then the trouble starts We come to know that Ryan has some head issues surrounding the death of her daughter as the writer felt a dire need to give Ryan some sort of existential problem in her head to make her character feel more human Apart from this minor bit nothing is presented in terms of character development for any other protagonists Who is Kowalski Who are the people who died in their space pods No idea Then the whole manufactured sense of suspense Every time Ryan gets anywhere near the Air Lock she does it three times the debris presents itself like on cue every single time Then a fire in a space station then running out of Oxygen then something then something It s fine that they used some standard tricks but it all seems so manufactured and mechanical by the numbers suspense Also at times I couldn t shrug off the feeling that what they are showing on screen is not actually factual Do the controls on various international space stations have their national languages on them Really Maybe they do but seems hard to believe when 20 phones are built with custom User interfaces with changeable languages why have your billion dollar space stations with Russian or Chinese characters on your buttons totally beats me Oh manufactured suspense owing to the whole can t understand this thing machinery The the dialogs when they come are nothing to write home about Ryan has a hallucinatory moment when she talks to herself following some Mandarin Chatter on the radio which is cringe worthy I wont even mention the in your face allegory about rebirth which is there for to make the movie seem deeper than it is So what works for the movie It s a cross between an IMAX documentary with some suspense elements thrown it which makes it look path breaking But it s not Not a bad watch but nothing to rave about either,9
24 March 2018,Not My Kind Of Movie,Visually Gravity is unlike what we have seen on a cinema screen before and arguably it has one of the best uses of 3D in a movie The setting is spectacular and the premise is inventive On every other front the movie falters badly Once you get over the initial wonderment surrounding the beautiful visuals the chinks start showing up Overall the script is very weak Apparently the Russians bomb their own satellite by mistake and the debris is flying around at bullet speed smashing everything in its way Now upon hearing an emergency evacuation request Kowalski who has been wasting his precious thrusters all this while floating around spouting inane dialogs orders Ryan Bullock to disengage from whatever she is repairing Apparently Ryan has six months of training only and fails to be responsive and then the trouble starts We come to know that Ryan has some head issues surrounding the death of her daughter as the writer felt a dire need to give Ryan some sort of existential problem in her head to make her character feel more human Apart from this minor bit nothing is presented in terms of character development for any other protagonists Who is Kowalski Who are the people who died in their space pods No idea Then the whole manufactured sense of suspense Every time Ryan gets anywhere near the Air Lock she does it three times the debris presents itself like on cue every single time Then a fire in a space station then running out of Oxygen then something then something It s fine that they used some standard tricks but it all seems so manufactured and mechanical by the numbers suspense Also at times I couldn t shrug off the feeling that what they are showing on screen is not actually factual Do the controls on various international space stations have their national languages on them Really Maybe they do but seems hard to believe when 20 phones are built with custom User interfaces with changeable languages why have your billion dollar space stations with Russian or Chinese characters on your buttons totally beats me Oh manufactured suspense owing to the whole can t understand this thing machinery The the dialogs when they come are nothing to write home about Ryan has a hallucinatory moment when she talks to herself following some Mandarin Chatter on the radio which is cringe worthy I wont even mention the in your face allegory about rebirth which is there for to make the movie seem deeper than it is So what works for the movie It s a cross between an IMAX documentary with some suspense elements thrown it which makes it look path breaking But it s not Not a bad watch but nothing to rave about either,5
24 March 2014,Gravity,A technical masterpiece proved at the Oscars that Alfonso Cuar n brings to us The story is very simple a medical engineer and an astronaut work together to survive after an accident leaves them adrift in orbit Life in space is impossible This sentence proves itself in the movie it s obviously very dangerous to work in space reparing satellites and to land on the moon but we did it It all seemed to be good until a Russian satellite is hit by a missile on purpose by the Russians to destroy it but the debris of it end up hitting on Ryan Stone Sandra Bullock and Matt Kowalski George Clooney After the first hit the timer is set the debris will come and they ll have to be prepared The plot is pretty straight forward but the way they pull it off is brilliant The character development was really good Ryan had a daughter once but she died very young because of a stupid accident and at some points in the movie you understand why she would give up her life to reunite with her lost child or simply to give up because no one will care we can see that she is a lonely person affected by tragic events Matt gives the idea of a experienced and very calm astronaut much like Clooney s usual characters but we don t know much about him except some stories he s always talking about But it s OK the main character really is Ryan it s her character that s important to this movie and like Cuar n said at the Oscars Sandra Bullock is Gravity At some points in the movie without noticing I found myself holding my breath in certain moments It s a claustrophobic movie That good The change between sound and no sound is brilliant that s why I did that along with the change I would hold my breath to experience the same as they would In terms of sound mixing like I said it was well done with the sound matching the experience of the movie Excellent visual experience beautiful images of the earth and surroundings a real breakthrough in special effects and personally the best movie yet in 3D This is absolutely worth seeing in 3D in fact it s necessary to obtain the full movie experience Cuar n and everyone involved in the movie should be proud of themselves,9
8 March 2014,Another marketing fake,Let s start off directly critically acclaimed with 8 2 rating Since I can t vouch for mental credibility of critics I can vouch that they have been properly paid just like for other big titles Now a bit more detail Movie isn t bad There can be worse certainly Movie has visuals some music some acting some plot If watching this is not an expense to you it s worth it However there is nothing to expect from this movie Absolutely The only possible positive thing about this movie is the atmosphere Duh a movie about atmosphere has atmosphere Well better than the opposite To some it may be boring and redundant but I can more or less understand the purpose of depicting how helpless a person is in open space This is the catch of the movie and it is achieved At this point the movie COULD in fact have 7 8 rating But The amount of stupidity in this movie can only be competing against Promotheos How did this specialist get in space Last time I checked space program isn t some university teaching You can t just be an expert or specialist Unless all of that is an urban myth only people with perfect health physical condition mental stability proved by multiple tests and extreme perception are allowed to actually go there And that is regardless of your role And it is for the very reason that things that are shown in the movie do NOT end like they did What do we see Well mentally unstable physically slender expert who has issues in basic centrifuge situation and that IS one of the tests Oh and I hope this isn t much of a spoiler but apparently she also has never succeeded in emergency simulations We are supposed to believe that she was allowed up there On top of that the dialogues are very plain The whole movie can be summed down to protagonist whining and being babysat by her officer in charge Twice in the movie the protagonist stays on the brink of death for unnaturally long time Let s put it this way Over the course of 10 minutes the Oxygen amount has been reduced from 10 to 1 In the next 15 minutes of active talking breath and moving this 1 is as good as full Seriously no Just no And of course there is one decompression scene that is worse than Ripley in Aliens If you are a visual fa fan you will probably award it 7 9 as you d do to any other CGI motion picture If you are a scientific person well you will be offended Totally This is probably not the safe movie to watch,5
11 October 2013,"One of the best movies i've seen in a long, long time.",Visually Gravity is unlike what we have seen on a cinema screen before and arguably it has one of the best uses of 3D in a movie The setting is spectacular and the premise is inventive On every other front the movie falters badly Once you get over the initial wonderment surrounding the beautiful visuals the chinks start showing up Overall the script is very weak Apparently the Russians bomb their own satellite by mistake and the debris is flying around at bullet speed smashing everything in its way Now upon hearing an emergency evacuation request Kowalski who has been wasting his precious thrusters all this while floating around spouting inane dialogs orders Ryan Bullock to disengage from whatever she is repairing Apparently Ryan has six months of training only and fails to be responsive and then the trouble starts We come to know that Ryan has some head issues surrounding the death of her daughter as the writer felt a dire need to give Ryan some sort of existential problem in her head to make her character feel more human Apart from this minor bit nothing is presented in terms of character development for any other protagonists Who is Kowalski Who are the people who died in their space pods No idea Then the whole manufactured sense of suspense Every time Ryan gets anywhere near the Air Lock she does it three times the debris presents itself like on cue every single time Then a fire in a space station then running out of Oxygen then something then something It s fine that they used some standard tricks but it all seems so manufactured and mechanical by the numbers suspense Also at times I couldn t shrug off the feeling that what they are showing on screen is not actually factual Do the controls on various international space stations have their national languages on them Really Maybe they do but seems hard to believe when 20 phones are built with custom User interfaces with changeable languages why have your billion dollar space stations with Russian or Chinese characters on your buttons totally beats me Oh manufactured suspense owing to the whole can t understand this thing machinery The the dialogs when they come are nothing to write home about Ryan has a hallucinatory moment when she talks to herself following some Mandarin Chatter on the radio which is cringe worthy I wont even mention the in your face allegory about rebirth which is there for to make the movie seem deeper than it is So what works for the movie It s a cross between an IMAX documentary with some suspense elements thrown it which makes it look path breaking But it s not Not a bad watch but nothing to rave about either,10
8 April 2022,A Beautifully Directed Space Adventure,Before watching this movie officially the first time I have heard from a lot of people this is supposed to be one of the best movies of the 2010 decade and brings visuals to a whole new level After watching it for myself now I can understand all the praise Gravity may possibly be the most exciting and amazingly crafted space movie ever created The survival story is engaging Even for a sci fi film I was never bored once This is incredibly directed featuring some of the most beautifully crafted visuals and cinematography used for a movie The characters may have a few but fit well for a movie about being lost in space And the most interesting I find about this movie is how sometimes it is hard to be an astronaut Sure the idea of traveling the universe sounds a lot of fun But trust me you never know if there s ever going to be rough gravity This is a movie I highly recommend for Sci Fi fans space enthusiasts and even fans of movies with 3D visuals This is probably the best Sci Fi film in recent years And I m glad this won for best director because this is one of the most beautifully crafted films I ve seen,10
19 January 2014,I did not enjoy this movie.,Visually Gravity is unlike what we have seen on a cinema screen before and arguably it has one of the best uses of 3D in a movie The setting is spectacular and the premise is inventive On every other front the movie falters badly Once you get over the initial wonderment surrounding the beautiful visuals the chinks start showing up Overall the script is very weak Apparently the Russians bomb their own satellite by mistake and the debris is flying around at bullet speed smashing everything in its way Now upon hearing an emergency evacuation request Kowalski who has been wasting his precious thrusters all this while floating around spouting inane dialogs orders Ryan Bullock to disengage from whatever she is repairing Apparently Ryan has six months of training only and fails to be responsive and then the trouble starts We come to know that Ryan has some head issues surrounding the death of her daughter as the writer felt a dire need to give Ryan some sort of existential problem in her head to make her character feel more human Apart from this minor bit nothing is presented in terms of character development for any other protagonists Who is Kowalski Who are the people who died in their space pods No idea Then the whole manufactured sense of suspense Every time Ryan gets anywhere near the Air Lock she does it three times the debris presents itself like on cue every single time Then a fire in a space station then running out of Oxygen then something then something It s fine that they used some standard tricks but it all seems so manufactured and mechanical by the numbers suspense Also at times I couldn t shrug off the feeling that what they are showing on screen is not actually factual Do the controls on various international space stations have their national languages on them Really Maybe they do but seems hard to believe when 20 phones are built with custom User interfaces with changeable languages why have your billion dollar space stations with Russian or Chinese characters on your buttons totally beats me Oh manufactured suspense owing to the whole can t understand this thing machinery The the dialogs when they come are nothing to write home about Ryan has a hallucinatory moment when she talks to herself following some Mandarin Chatter on the radio which is cringe worthy I wont even mention the in your face allegory about rebirth which is there for to make the movie seem deeper than it is So what works for the movie It s a cross between an IMAX documentary with some suspense elements thrown it which makes it look path breaking But it s not Not a bad watch but nothing to rave about either,2
10 October 2013,"Side-Effects to Gravity includes shortness of breath, elevated heartrate, and pure visual stimulation",And you think your job sucks Containing some of the most claustrophobic space action since Alien Gravity is a very tense and visually stimulating movie that contains some of the best usage of special effects in film within the past several decades In a fashion similar to 2001 A Space Odyssey dialogue takes a backseat and all focus is on the imagery involving a struggle within the cold harsh world of outer space Every once in a while comes a movie that upon first viewing you become sure that it is going to nab every technical Oscar of the year Terminator 2 Titanic The Matrix Inception and Avatar comes into mind Gravity falls into the same grouping because of its flawless usage of sound camera work and special effects Similar to how Jurassic Park shaped the way we see and hear dinosaurs on film Gravity will be sure to do the same to outer space With this film outer space isn t just a backdrop it is a true living breathing environment that deserves to be respected and feared Without revealing too much Gravity follows two astronauts as they struggle to survive within the boondocks of planet Earth when impending danger starts approaching their workspace While the addition of George Clooney and Sandra Bullock doesn t exactly enhance the movie their performances were quite good But the best performance is that of Alfonso Curason whose mix of close ups intense shots elongated scenes and astounding visual details makes this easily one of the best directing efforts in the past few years The half decade spent on this production pays off and it clearly shows why it took so long However this movie s Hollywood mannerisms definitely hindered this from becoming a bonafide instant classic to the tune of 2001 although I am in the minority and feel like Kubrick s space opera is a rather overrated work Not seeing this in 3 D it is obvious that some of the details in the movie were done less to move the plot and exercise the technical details and more because it was going to be released in 3 D and wanted to hand moviegoers its money s worth Then there s the rather overbloated overproduced and overdramatic musical score done by a Doing My Best Hans Zimmer Impression Steven Price Against Hollywood wishes the movie could have excelled even more relying purely on sound effects and lack of similar to No Country For Old Men Despite the two small gripes that prevent it from being a new age Star Wars Alien or other sci fi outer space masterpieces Gravity is nonetheless a spectacular work of suffocating intensity that leaves you breathless throughout the merciful runtime of 90 minutes Like the best visual works in film history this is best enjoyed in the theater in front of a massive screen surrounded by darkness In a year lacking of Best Picture quality films so far Gravity stands tall as the first great movie of the fall season Just be prepared to take deep breaths This movie will take them away,9
27 April 2014,Lots of Physics but No Chemistry,I ve heard that this one should only be seen in an IMAX theater which seems like sound advice Effects that must be amazing in 3D like the big scene stealing Mexican frog in the splashdown sequence are just distracting on a smallish home screen Worse than that it s a movie that feeds the eye and starves the brain the green screen wizardry is compelling but it doesn t begin to make up for the deficiencies of plot and character development Even two charismatic pros like Clooney and Sandra Bullock can t do much to hoist this damp petard my wife bailed after twenty minutes or so pronouncing it guy stuff and I was all like Wait wait I have a feeling this routine jeopardy plot s about to turn into a Kubrickian fantasy of death and transfiguration It did but that still didn t help much Watchable but disappointing,6
23 October 2013,Best 3D movie to date !!,Went to see this on a XD screen and was blown away with the visuals and sound Not even Avatar in 3D was this good Avatar has aged pretty bad in just 4 years the characters now look cartoonish Note that this movie like Avatar in his time were meant to be seen at the theater in 3D Seeing this type of movies in 2D or at home just makes them average This is what 3D in cinemas was meant for only for movies who really justify and enhance the experience not just to make more money out of sales of 3D tickets The use of 3D helps you feel the action and emotion in this film so do yourself a favor and watch GRAVITY in 3D while still in theaters to get the full immersive effect You re in for an amazing ride,10
22 August 2021,This story gave me more appreciation for gravity.,I watched this movie at the neighborhood movie theater about 8 years ago I remember I fell asleep while watching this movie because of the space dark screen That is why I don t remember the story well so I ve watched it again this time Speaking from the conclusion I have to say this movie is absolutely amazing I have always wanted to go to space and I wanna meet other planet aliens but after watching this movie I completely changed my mind Www This story gave me more appreciation for gravity Without air we hardly live I just want to appreciate gravity air and beautiful global BTW Sandra Bullock is really great actor She is so real and she never overreacting that why I love her And the scene that George Clooney gave up living is so painful This movie made us to go another dimension Highly recommended,8
7 October 2013,Nice images only,Spoilers Every IMAXX documentation on space is more thrilling than this flick I was soo happy when it was over and I didn t have to listen to Sandra Bullock s wheezing no more and Clooney was as boring as usual I can give only one point for the Earth images one point for the ISS crash half a point for space floating half a point for the dream the only realistic action of this movie And that s it And then I go on and wonder a Why the astronaut did not learn techniques to calm herself b Why the commander did not try to rescue himself as long as the chance was given and pull himself in when they were tangled in the ribbon of the chute c Why didn t the other one realizing that the ribbons start to loosen use her other leg to wrap them around,3
17 October 2013,"A stunning, game-changing, cinematic achievement.",OK so I m supposed to be working right now but I m in one of those funky ass quasi writer s block ruts where I ve written one of my characters into a corner and now can t decide whether to solve the problem or just scrap 8 minutes of screen time Until I do here s a few quick thoughts about Gravity which my girlfriend and I went and saw on a day date yesterday afternoon I m not writing this to be read by anybody mind you Rather it s my attempt to distract myself by writing something entirely unrelated to my script in the hopes a solution to my problem pops up when I m not thinking about it Feel free to adopt this perspective in your own situation the next time your boss tells you you re screwing around You re welcome So Gravity Yeah WOW I suppose the simplest way to sum up this film is to say it is indeed a truly new experience In his autobiography Charlie Chaplin recalled when he first saw Lumi re s Arrival of a Train at La Ciotat 1895 which simply showed a steam engine approaching a station To him and millions it was magic Such is the case here with what I refer to as director Alfonso Cuaron s cinematic Thriller a singular evolution of storytelling that he or anyone else for that matter is exceedingly unlikely to repeat in my lifetime Story wise though Gravity is just your typical survival film which has been made aplenty though the elements are different in this setting with only a few broken spacecrafts and endless deep space Survival films like Gravity are almost like one off events something that everyone should see at least once but don t often stand the test of time The allure of a movie like 127 Hours was to see how James Franco would cut off his arm but can anyone remember the rest of the movie And does anyone care to Fortunately Gravity does have more going for it than most survival films which primarily is the various layers of fear the fear of the unfamiliarity of space the obvious fear of time and finally the fear of not just dying but the question of how will your end come A question I m dealing with now in this unconscionable bitch of a script I m trying to finish I should add But more importantly if you re anything like the film homer I am Gravity is much more than a formulaic story of survival it is an exquisite work of visual art Unlike the 3 D technology so overly hyped in Avatar the fact that the screen is so lacking in clutter and action only serves to immerse you in the film Such was the promise of 3 D IMAX years ago finally fulfilled here The 3 D is so seamless and natural there were moments when I had to remove my glasses for a moment if for nothing else than to confirm that yes a 3 D camera angle of a girl in a lake shot from water level is frighteningly realistic Frighteningly realistic That would also sum up this film were it not for the fact that a mere moment after walking out of the theater I was overcome with such emotion I cried As of this minute I still have no concrete explanation for my reaction except to speculate that while Gravity is by no means as great a film as Citizen Kane Casablanca or To Kill A Mockingbird my favorite movie of all time it is arguably the most beautiful cinematic experience I ve ever been fortunate enough to have One last thing I promise Perhaps the most ironic and tragic aspect of Cuaron s game changing achievement is that part of what makes Gravity so singularly wonderful is precisely why it isn t likely to find much success once the IMAX well has run dry I for one will never deign to see this film in any venue smaller than six stories That d be akin to going to the stadium to see your team play Game 7 of the World Series only to sit in your car and listen to it on the radio See this but only as it was meant to be seen OK now back to work before the Hammer comes out here and tears me a new one,10
4 April 2014,Overrated,Visually Gravity is unlike what we have seen on a cinema screen before and arguably it has one of the best uses of 3D in a movie The setting is spectacular and the premise is inventive On every other front the movie falters badly Once you get over the initial wonderment surrounding the beautiful visuals the chinks start showing up Overall the script is very weak Apparently the Russians bomb their own satellite by mistake and the debris is flying around at bullet speed smashing everything in its way Now upon hearing an emergency evacuation request Kowalski who has been wasting his precious thrusters all this while floating around spouting inane dialogs orders Ryan Bullock to disengage from whatever she is repairing Apparently Ryan has six months of training only and fails to be responsive and then the trouble starts We come to know that Ryan has some head issues surrounding the death of her daughter as the writer felt a dire need to give Ryan some sort of existential problem in her head to make her character feel more human Apart from this minor bit nothing is presented in terms of character development for any other protagonists Who is Kowalski Who are the people who died in their space pods No idea Then the whole manufactured sense of suspense Every time Ryan gets anywhere near the Air Lock she does it three times the debris presents itself like on cue every single time Then a fire in a space station then running out of Oxygen then something then something It s fine that they used some standard tricks but it all seems so manufactured and mechanical by the numbers suspense Also at times I couldn t shrug off the feeling that what they are showing on screen is not actually factual Do the controls on various international space stations have their national languages on them Really Maybe they do but seems hard to believe when 20 phones are built with custom User interfaces with changeable languages why have your billion dollar space stations with Russian or Chinese characters on your buttons totally beats me Oh manufactured suspense owing to the whole can t understand this thing machinery The the dialogs when they come are nothing to write home about Ryan has a hallucinatory moment when she talks to herself following some Mandarin Chatter on the radio which is cringe worthy I wont even mention the in your face allegory about rebirth which is there for to make the movie seem deeper than it is So what works for the movie It s a cross between an IMAX documentary with some suspense elements thrown it which makes it look path breaking But it s not Not a bad watch but nothing to rave about either,1
18 November 2013,Truly Magical,Every once in awhile a movie comes along that reminds you to believe in possibility 3D film was developed so that visionary filmmakers like Alfonso Cuar n could make movies like Gravity Quite simply it is a groundbreaking jaw dropping experience of visual beauty and vicarious terror that leaves you breathless What I liked This is not the transcendent wonder of Kubrick s 2001 This is a physical and visual encounter with cinema For the record I love 3D movies but not for the sake of it I enjoy new ideas being translated through a relatively new facet of technology Gravity left me feeling as though I knew what it would be like in space and that is no small feat Cuar n and cinematographer Emmanuel Lubezki have given us a visual story that previously was beyond my imaginative scope Just brilliant What I didn t like As with most ground breaking films what Cuar n was trying to accomplish cinematically overshadowed character and dialogue This is a rare exception where it s okay with me The movie is not about Bullocks back story The movie is entirely in the moment and succeeds as such Bullock and Clooney are commendable and convincing but their familiar faces within this magical moment of experiencing something new in film for me was almost distracting or a disappointing reminder that it was just a movie http canyoutellastory wordpress com 2013 11 14 gravity 2013,9
20 October 2013,Lacks just about everything that makes a film great.,This movie was simply awful The only redeeming aspects of this movie was the CG and some of the cinematography It lacked story character development and basically everything else that goes into making what generally qualifies as a great movie Gravity was just an excuse to naturally take advantage of 3D where as other movies have forced 3D moments that are out of place In space though almost any moment can be made into a 3D moment and feel natural Also if your easily nauseated you ll want to sit this one out or sit at the very rear of the theater The constant spinning of objects people and camera shots will make you sick After seeing the trailer to this film I had no intentions of spending my hard earned money to go see this My girlfriend decided she wanted to go because her brother said it was an amazing film and she would pay if I went with her So of course I went like a schmuck and figured with low expectations the film couldn t get any worse I was wrong I constantly found myself looking at the remaining time Even she apologized for taking me to the film and said she would never trust her brother again If your a Bullock Clooney CG 3D nut then this movie was meant for you Outside of that this film lacks everything that makes a film great or worthy of such reviews ratings its currently receiving At most I d say this film was in the 6ish range but gave it a 1 simply to curve all these phony ratings,1
16 June 2014,What is this madness?,Visually Gravity is unlike what we have seen on a cinema screen before and arguably it has one of the best uses of 3D in a movie The setting is spectacular and the premise is inventive On every other front the movie falters badly Once you get over the initial wonderment surrounding the beautiful visuals the chinks start showing up Overall the script is very weak Apparently the Russians bomb their own satellite by mistake and the debris is flying around at bullet speed smashing everything in its way Now upon hearing an emergency evacuation request Kowalski who has been wasting his precious thrusters all this while floating around spouting inane dialogs orders Ryan Bullock to disengage from whatever she is repairing Apparently Ryan has six months of training only and fails to be responsive and then the trouble starts We come to know that Ryan has some head issues surrounding the death of her daughter as the writer felt a dire need to give Ryan some sort of existential problem in her head to make her character feel more human Apart from this minor bit nothing is presented in terms of character development for any other protagonists Who is Kowalski Who are the people who died in their space pods No idea Then the whole manufactured sense of suspense Every time Ryan gets anywhere near the Air Lock she does it three times the debris presents itself like on cue every single time Then a fire in a space station then running out of Oxygen then something then something It s fine that they used some standard tricks but it all seems so manufactured and mechanical by the numbers suspense Also at times I couldn t shrug off the feeling that what they are showing on screen is not actually factual Do the controls on various international space stations have their national languages on them Really Maybe they do but seems hard to believe when 20 phones are built with custom User interfaces with changeable languages why have your billion dollar space stations with Russian or Chinese characters on your buttons totally beats me Oh manufactured suspense owing to the whole can t understand this thing machinery The the dialogs when they come are nothing to write home about Ryan has a hallucinatory moment when she talks to herself following some Mandarin Chatter on the radio which is cringe worthy I wont even mention the in your face allegory about rebirth which is there for to make the movie seem deeper than it is So what works for the movie It s a cross between an IMAX documentary with some suspense elements thrown it which makes it look path breaking But it s not Not a bad watch but nothing to rave about either,1
25 December 2013,Worst movie of 2013,I don t know what to say only that I regret to watching this movie Good graphics Mediocre acting The worst camera constantly changed positions in a way that gave me headache The poor script with a expected ending Errors form geographical technical or physical point Well what I don t understand is clearly why this movie has such a good rate Probably it s the advertising like with The Dark Knight Rises where the advertising is very strong and the kiddos blindly give it a high rate Anyway this truly wins the title WORST MOVIE OF 2013,1
18 April 2021,Yes and no,The movie has amazing visual aspects And the amount of effort put into making it so visually outstanding The filming techniques are incredible a real must see The storyline was good especially during the early part of the film but started to fall apart towards the end Pity really seeing as so much effort has gone into making this movie It is well worth watching if only for the special effects,8
9 March 2014,Over-hyped and underwhelming,I really don t get why this film has rave reviews OK there are some neat special effects and a few head spinning moments but I was expecting to be blown away instead i spent most of the film irritated by Bullocks character and annoyed by how much of the storyline has been borrowed from films like Apollo 13 The ending was all too predictable and left me thinking this was a wasted opportunity to to let the audience walk away with questions to answer rather than a neat wrap up Massively disappointed Perhaps if i watched it purely for the visual effects i would feel differently but i was hoping to be engaged on other levels as well,2
